Name,Email,Phone,Office Phone,Fax,Primary Contact,Alt. Email,NextService Project Type,Estimate,Labor Cost (ATTB),MJC Project TopLevelParent (TLP),MJC Net Profit,MJC Project 003,MJC Immediate Parent Project,Project Close Date,Prime Sales Rep,AIA Retainage %,AIA Retainage Cost,AIA Planned SO,Custom Tax Item,Customer Refund Entity Bank Subsidiary,Customer Refund Entity Bank Format,Cust Ref File Format,Customer DD Entity Bank Subsidiary,Customer DD Entity Bank Format,Direct Debit File Format
3D Electrical Services,,250-746-7007,,,,,,,,,,,,,,,,,G - GST only,,,,,,
123 Test Company,,,,,,,,,,,,,,,,,,,,,,,,,
484 Electrical Contractors,,250-589-6232,,,,,,,,,,,,,,,,,G - GST only,,,,,,
1175 Douglas (BC) Properties,,250-388-6454,250-382-3564,,,,,,,,,,,,,,,,G - GST only,,,,,,
100606,,604-214-8650,,,,,,,,,,,,,,,,,,,,,,,
101147,johndoe@testelectric.ca,2508939089,,,,,,,,,,,,,Kevin BJORNSON,,,,,,,,,,
653440 BC LTD o/a Brownsey Electric,,250-701-3776,,,,,,,,,,,,,,,,,G - GST only,,,,,,
0956317 BC Ltd,,250-999-8991,,,,,,,,,,,,,,,,,G - GST only,,,,,,
0985471 BC Ltd,,604-802-6723,855-933-3842,,,,,,,,,,,,,,,,G - GST only,,,,,,
1128141 BC Ltd.,,250-415-8305,,,,,,,,,,,,,,,,,G - GST only,,,,,,
8528934 Canada Ltd. O/A 7ACRES,,519-368-3060,,,,,,,,,,,,,,,,,G - GST only,,,,,,
AA Clarke Electric Ltd.,,250-858-7004,,,,,,,,,,,,,,,,,G - GST only,,,,,,
ABB Inc.,,514-832-6500,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Accel Systems,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Ace Manufacturing Metals Ltd.,,866-352-7145,780-352-7145,,,,,,,,,,,,,,,,G - GST only,,,,,,
ACML Management Western Ltd.,,250-519-7700,,,,,,,,,,,,,,,,,G - GST only,,,,,,
ACML Operations (FSJ) Ltd.,,250-261-7300,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Action Electric,,604-677-8700,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Advanced Energy Systems 2 LP,,604-454-8404,604-466-0781,,,,,,,,,,,,,,,,G - GST only,,,,,,
Advanced Energy Systems LP1,robro6@aol.com,604-454-8404,604-466-0781,,,,,,,,,,,,,,,,G - GST only,,,,,,
Advanced Powerlines,,250-861-5540,250-807-7794,,,,,,,,,,,,,,,,G - GST only,,,,,,
Advantage Heating and Cooling Ltd.,,250-384-3317,250-217-5118,,,,,,,,,,,,,,,,G - GST only,,,,,,
AE Electric,ae.electric.bc@gmail.com,(250) 589-3314,,,,,,,,,,,,,Douglas de la MARE,,,,GP - GST/PST - BC,,,,,,
Aecon Water Infrastructure Inc.,,403-770-1914,,,,,,,,,,,,,,,,,G - GST only,,,,,,
AGT Electrical Systems Ltd.,,250-889-5707,250-384-7001,,,,,,,,,,,,,,,,G - GST only,,,,,,
Aines and Tyler Electric Co. Ltd.,,250-724-6133,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Algonquin Power Systems (Cordova) LP,,604-867-9414,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Allan Bell & Associates Ltd.,,604-986-8865,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Alliance Electric,,250-881-2302,250-580-4311,,,,,,,,,,,,,,,,G - GST only,,,,,,
Allied Power and Communication,,778-351-4730,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Allteck Line Contractors Inc.,,866-882-8191,604-857-6600,,,,,,,,,,,,,,,,G - GST only,,,,,,
Allterra Construction Ltd.,,250-658-3772,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Allwest Electric Ltd.,,604-464-6200,604-219-3605,,,,,,,,,,,,,,,,G - GST only,,,,,,
Alta Lake Electric Ltd.,sean@altalakeelectric.com,(604) 892-5331,,,,,,,,,,,,,,,,,GP - GST/PST - BC,,,,,,
AMEC Americas Ltd,,905-829-5400,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Amica Somerset House,,250-380-9121,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Ammeter Electric,,250-246-4899,250-246-9594,,,,,,,,,,,,,,,,G - GST only,,,,,,
Amped Electrical Contracting,,250-882-5282,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Andrew Electric Ltd.,,250-883-0801,250-883-5391,,,,,,,,,,,,,,,,G - GST only,,,,,,
Andrew Peller Limited,,(250) 859-6971,,,Devon Frizell,,,,,,,,,,Douglas de la MARE,,,,G - GST only,,,,,,
Andritz Hydro Canada Inc.,,514-428-6700,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Apex Steel & Gas Ltd.,,250-386-2929,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Apple Electric,,250-830-0997,250-286-4911,,,,,,,,,,,,,,,,G - GST only,,,,,,
Applied Engineering Solutions,,250-381-6121,250-744-7855,,,,,,,,,,,,,,,,G - GST only,,,,,,
Arctic Arrow Powerline Group Ltd.,,604-507-7424,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Arnett Grgic Engineering Ltd.,,604-267-3042,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Arrm Electric Ltd.,,250-381-0024,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Ascent Property Management,,604 - 293-2434,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Ascot Resources,,778-725-1060,855-593-2951,,,,,,,,,,,,,,,,G - GST only,,,,,,
Ashlu Creek Investment L.P.,,450-928-2550,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Aspect Electrical Services,,250-999-8991,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Atlantic Power Corp.,,617-977-2710,,,,,,,,,,,,,,,,,_CA-E,,,,,,
Atli Chip Limited Partnership,,250-928-3151,250-230-1316,,Eddy Feldman,,,,,,,,,,,,,,G - GST only,,,,,,
Atlin Tlingit Economic LP,,250-651-2221,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Averill Creek Vineyard,,250-709-9986,,,,,,,,,,,,,,,,,G - GST only,,,,,,
AWSE Electrical,,604-632-1665,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bamfield Marine Sciences Centre,,250-728-3301,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Barkley Group,,250-390-2627,250-741-4227,,,,,,,,,,,,,,,,G - GST only,,,,,,
Barnabas Family Ministries,,778-200-3553,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Barr Creek Limited Partnership,,604-688-8271,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bartle & Gibson Co. Ltd.,,780-472-2850,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Basic Rock Products,,250-652-4647,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bayhill Contracting Ltd.,,604-533-3306,604-536-3376,,,,,,,,,,,,,,,,G - GST only,,,,,,
BC Ferries,,250-978-1267,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BC Housing Management Commission,,778-452-6475,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BC Hydro,,250-897-7414,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BC Marble Products Ltd.,,250-324-3021,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BC Tree Fruits Cooperative,,250-470-4259,250-498-3491,,,,,,,,,,,,,,,,G - GST only,,,,,,
bcIMC Realty Corp c/o QuadReal Property Group,,604-990-5426,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BCIT,,604-432-8399,604-456-1056,,,,,,,,,,,,,,,,G - GST only,,,,,,
